ds,y,AWND_x,PRCP_x,SNWD_x,SNOW_x,TMAX_x,TMIN_x,AWND_y,PRCP_y,SNWD_y,SNOW_y,TMAX_y,TMIN_y
2017-07-26,43,7.38,0.0,0.0,0.0,95.0,76.0,7.38,0.0,0.0,0.0,95.0,76.0
2017-07-27,57,8.05,0.0,0.0,0.0,95.0,76.0,8.05,0.0,0.0,0.0,95.0,76.0
2017-07-28,71,4.92,0.76,0.0,0.0,86.0,75.0,4.92,0.76,0.0,0.0,86.0,75.0
2017-07-29,54,8.5,0.0,0.0,0.0,88.0,69.0,8.5,0.0,0.0,0.0,88.0,69.0
2017-07-30,49,8.05,0.0,0.0,0.0,86.0,66.0,8.05,0.0,0.0,0.0,86.0,66.0
2017-07-31,55,4.47,0.0,0.0,0.0,88.0,66.0,4.47,0.0,0.0,0.0,88.0,66.0
2017-08-01,49,4.7,0.26,0.0,0.0,86.0,70.0,4.7,0.26,0.0,0.0,86.0,70.0
2017-08-02,43,2.68,0.03,0.0,0.0,83.0,69.0,2.68,0.03,0.0,0.0,83.0,69.0
2017-08-03,65,3.8,0.0,0.0,0.0,88.0,69.0,3.8,0.0,0.0,0.0,88.0,69.0
2017-08-04,53,6.04,0.0,0.0,0.0,85.0,72.0,6.04,0.0,0.0,0.0,85.0,72.0
2017-08-05,33,8.28,0.0,0.0,0.0,86.0,71.0,8.28,0.0,0.0,0.0,86.0,71.0
2017-08-06,54,7.38,0.09,0.0,0.0,81.0,71.0,7.38,0.09,0.0,0.0,81.0,71.0
2017-08-07,55,5.82,0.0,0.0,0.0,79.0,70.0,5.82,0.0,0.0,0.0,79.0,70.0
2017-08-08,49,8.95,0.0,0.0,0.0,86.0,68.0,8.95,0.0,0.0,0.0,86.0,68.0
2017-08-09,39,6.26,0.0,0.0,0.0,88.0,70.0,6.26,0.0,0.0,0.0,88.0,70.0
2017-08-10,46,3.8,0.0,0.0,0.0,90.0,71.0,3.8,0.0,0.0,0.0,90.0,71.0
2017-08-11,52,5.37,0.35,0.0,0.0,86.0,72.0,5.37,0.35,0.0,0.0,86.0,72.0
2017-08-12,51,6.26,0.01,0.0,0.0,87.0,72.0,6.26,0.01,0.0,0.0,87.0,72.0
2017-08-13,47,5.59,0.29,0.0,0.0,78.0,69.0,5.59,0.29,0.0,0.0,78.0,69.0
2017-08-14,47,3.8,0.69,0.0,0.0,80.0,73.0,3.8,0.69,0.0,0.0,80.0,73.0
2017-08-15,54,4.03,0.0,0.0,0.0,89.0,73.0,4.03,0.0,0.0,0.0,89.0,73.0
2017-08-16,42,8.95,0.0,0.0,0.0,92.0,75.0,8.95,0.0,0.0,0.0,92.0,75.0
2017-08-17,47,8.05,0.0,0.0,0.0,89.0,74.0,8.05,0.0,0.0,0.0,89.0,74.0
2017-08-18,34,4.92,0.75,0.0,0.0,92.0,71.0,4.92,0.75,0.0,0.0,92.0,71.0
2017-08-19,43,4.7,0.0,0.0,0.0,93.0,70.0,4.7,0.0,0.0,0.0,93.0,70.0
2017-08-20,42,4.47,0.0,0.0,0.0,95.0,76.0,4.47,0.0,0.0,0.0,95.0,76.0
2017-08-21,40,5.14,0.0,0.0,0.0,92.0,75.0,5.14,0.0,0.0,0.0,92.0,75.0
2017-08-22,52,7.61,0.0,0.0,0.0,93.0,74.0,7.61,0.0,0.0,0.0,93.0,74.0
2017-08-23,47,7.61,0.13,0.0,0.0,84.0,70.0,7.61,0.13,0.0,0.0,84.0,70.0
2017-08-24,44,7.61,0.0,0.0,0.0,84.0,65.0,7.61,0.0,0.0,0.0,84.0,65.0
2017-08-25,57,8.05,0.0,0.0,0.0,85.0,63.0,8.05,0.0,0.0,0.0,85.0,63.0
2017-08-26,47,5.82,0.0,0.0,0.0,81.0,68.0,5.82,0.0,0.0,0.0,81.0,68.0
2017-08-27,39,3.8,0.0,0.0,0.0,87.0,71.0,3.8,0.0,0.0,0.0,87.0,71.0
2017-08-28,55,3.36,0.01,0.0,0.0,85.0,70.0,3.36,0.01,0.0,0.0,85.0,70.0
2017-08-29,43,4.47,0.0,0.0,0.0,85.0,67.0,4.47,0.0,0.0,0.0,85.0,67.0
2017-08-30,36,13.42,0.16,0.0,0.0,82.0,69.0,13.42,0.16,0.0,0.0,82.0,69.0
2017-08-31,50,14.32,0.7,0.0,0.0,76.0,69.0,14.32,0.7,0.0,0.0,76.0,69.0
2017-09-01,54,6.93,0.0,0.0,0.0,84.0,66.0,6.93,0.0,0.0,0.0,84.0,66.0
2017-09-02,38,2.01,0.0,0.0,0.0,83.0,62.0,2.01,0.0,0.0,0.0,83.0,62.0
2017-09-03,35,2.91,0.0,0.0,0.0,89.0,65.0,2.91,0.0,0.0,0.0,89.0,65.0
2017-09-04,43,6.93,0.0,0.0,0.0,90.0,70.0,6.93,0.0,0.0,0.0,90.0,70.0
2017-09-05,25,5.82,0.33,0.0,0.0,80.0,62.0,5.82,0.33,0.0,0.0,80.0,62.0
2017-09-06,44,6.93,0.0,0.0,0.0,78.0,57.0,6.93,0.0,0.0,0.0,78.0,57.0
2017-09-07,32,2.91,0.0,0.0,0.0,78.0,53.0,2.91,0.0,0.0,0.0,78.0,53.0
2017-09-08,46,2.68,0.0,0.0,0.0,82.0,55.0,2.68,0.0,0.0,0.0,82.0,55.0
2017-09-09,35,7.38,0.0,0.0,0.0,82.0,58.0,7.38,0.0,0.0,0.0,82.0,58.0
2017-09-10,40,9.4,0.0,0.0,0.0,83.0,59.0,9.4,0.0,0.0,0.0,83.0,59.0
2017-09-11,29,8.5,0.0,0.0,0.0,81.0,57.0,8.5,0.0,0.0,0.0,81.0,57.0
2017-09-12,38,9.62,0.12,0.0,0.0,66.0,62.0,9.62,0.12,0.0,0.0,66.0,62.0
2017-09-13,48,6.04,0.0,0.0,0.0,82.0,63.0,6.04,0.0,0.0,0.0,82.0,63.0
2017-09-14,44,4.7,0.0,0.0,0.0,87.0,60.0,4.7,0.0,0.0,0.0,87.0,60.0
